,experience_level,employment_type,job_title,company_location,company_size
3468,SE,FT,Applied Data Scientist,US,L
2196,MI,FT,Data Analyst,US,M
1302,EX,FT,Data Engineer,US,M
2642,SE,FT,Data Scientist,US,M
2546,MI,FT,Data Scientist,MX,L
2175,SE,FT,Data Architect,US,M
575,SE,FT,Data Engineer,CA,M
2390,MI,FT,Data Engineer,US,M
1518,MI,FT,Data Analyst,US,M
332,SE,FT,Data Analyst,US,M
3564,SE,FT,Lead Data Engineer,GB,S
2691,MI,FT,Analytics Engineer,US,M
1524,MI,FT,Data Analyst,US,M
727,MI,FT,Data Analyst,US,M
127,SE,FT,Data Engineer,US,M
354,SE,FT,Data Scientist,US,M
1742,SE,FT,Data Engineer,US,M
3086,EN,FT,Analytics Engineer,US,L
2212,SE,FT,Data Scientist,US,M
2308,MI,FT,Data Engineer,US,M
3190,SE,FT,Data Analyst,US,M
348,EN,FT,Applied Scientist,US,L
1878,SE,FT,Data Analyst,US,M
3041,SE,FT,Data Engineer,US,L
1471,SE,FT,Analytics Engineer,US,M
2353,SE,FT,Data Analyst,US,M
3081,SE,FT,Data Engineer,US,M
361,SE,FT,Data Engineer,US,M
1537,SE,FT,Data Scientist,US,M
3648,EN,FT,Machine Learning Engineer,DE,M
2739,SE,FT,Data Scientist,US,M
2699,EN,FT,Data Analyst,AU,L
770,SE,FT,Machine Learning Engineer,GB,M
25,SE,FT,Business Intelligence Engineer,US,M
696,SE,FT,Data Engineer,US,M
2362,SE,FT,Data Scientist,US,M
2491,SE,FT,Data Engineer,US,M
3595,SE,FT,Principal Data Analyst,US,M
3446,EN,FT,Data Engineer,DE,L
116,SE,FT,Data Scientist,US,M
3219,MI,FT,Data Scientist,GB,M
3674,MI,FT,Data Analyst,US,L
1711,MI,FT,Machine Learning Engineer,GB,M
1621,SE,FT,Data Scientist,US,M
1653,MI,FT,Data Engineer,ES,M
2619,SE,FT,Analytics Engineer,US,M
538,MI,FT,Data Engineer,US,M
3237,SE,FT,Data Engineer,US,M
2217,SE,FT,Data Engineer,US,M
2060,SE,FT,Principal Machine Learning Engineer,US,L
3383,SE,FT,Data Scientist,US,M
3516,EN,FT,Data Science Consultant,DE,L
946,SE,FT,Machine Learning Engineer,US,M
2814,MI,FT,Data Operations Engineer,US,M
3686,MI,FT,Lead Data Engineer,US,M
3233,SE,FT,Data Scientist,US,M
1501,SE,FT,Data Engineer,US,M
889,MI,FT,Data Scientist,US,M
2499,SE,FT,Machine Learning Engineer,US,M
3172,SE,FT,Data Engineer,US,M
3349,SE,FT,Data Analyst,US,M
1161,SE,FT,Data Engineer,US,M
642,SE,FT,Data Architect,US,M
2337,SE,FT,Data Engineer,US,M
509,SE,FT,Data Analyst,US,M
725,SE,FT,Analytics Engineer,US,M
327,EN,FT,Data Scientist,CA,L
1279,EN,FT,Data Analyst,US,M
1543,SE,FT,Data Scientist,US,M
2786,EN,FT,Data Scientist,IN,M
2026,SE,FT,Data Analyst,US,M
132,SE,FT,Data Engineer,US,M
1096,SE,FT,Data Engineer,US,M
979,SE,FT,Data Science Manager,MX,M
2436,MI,FT,Data Scientist,US,M
1846,SE,FT,Data Scientist,US,M
1842,MI,FT,Data Analyst,US,M
3407,MI,FT,Data Scientist,US,M
517,SE,FT,Data Analyst,US,M
1504,SE,FT,Data Engineer,US,M
1608,MI,FT,Data Analyst,US,M
2617,SE,FT,Data Analyst,US,M
1108,SE,FT,Data Analyst,US,S
2792,SE,FT,Machine Learning Engineer,US,L
624,SE,FT,Data Engineer,US,M
1203,SE,FT,Data Manager,US,M
3129,SE,FT,Data Engineer,US,M
2314,MI,FT,Data Engineer,US,M
2535,SE,FT,Data Engineer,US,M
3271,SE,FT,Data Scientist,US,M
1536,SE,FT,Data Engineer,US,M
330,SE,FT,Data Engineer,US,M
702,SE,FT,Applied Scientist,US,L
834,SE,FT,Research Scientist,US,M
2140,SE,FT,Data Scientist,ES,M
130,MI,FT,Data Analytics Manager,US,M
2632,SE,FT,Data Scientist,US,M
2479,SE,FT,Data Scientist,US,M
3658,EN,FT,Data Scientist,FR,S
495,MI,FT,MLOps Engineer,US,M
1931,SE,FT,Applied Scientist,US,M
1422,SE,FT,Applied Scientist,US,L
2237,SE,FT,Data Engineer,ES,M
78,SE,FT,Data Engineer,US,M
1587,SE,FT,Data Architect,US,M
3602,SE,FT,Data Scientist,US,L
1105,SE,FT,Data Scientist,US,M
45,SE,FT,Data Engineer,US,M
1979,SE,FT,Data Engineer,US,M
763,SE,FT,Data Engineer,US,M
1330,EX,FT,Data Engineer,US,M
1761,SE,FT,Data Scientist,US,M
1837,SE,FT,Data Engineer,US,M
3327,SE,FT,Data Scientist,US,M
416,SE,FT,Data Scientist,US,M
1562,MI,FT,Data Scientist,RO,L
871,SE,FT,Machine Learning Engineer,US,M
1318,SE,FT,Data Scientist,US,M
1808,SE,FT,Data Engineer,US,M
518,SE,FT,Data Analyst,US,M
1229,SE,FT,Big Data Architect,GB,L
1555,SE,FT,Data Engineer,US,L
3566,SE,FT,Machine Learning Engineer,DE,L
1851,SE,FT,Data Engineer,US,M
2105,SE,FT,Data Engineer,US,M
3505,SE,FT,Machine Learning Engineer,BE,M
1777,SE,FT,Data Architect,US,M
1049,MI,FT,Insight Analyst,GB,M
2575,SE,FT,Data Engineer,US,M
1864,SE,FT,Machine Learning Software Engineer,CA,M
2090,SE,FT,Data Analyst,US,M
928,MI,FT,Data Engineer,US,M
197,MI,FT,Research Engineer,US,M
746,EX,FT,Data Engineer,US,M
2243,SE,FT,Data Engineer,US,M
404,SE,FT,Data Analyst,US,M
1708,SE,FT,Machine Learning Scientist,US,M
581,EN,FT,Data Scientist,US,M
1884,SE,FT,Machine Learning Engineer,US,M
815,SE,FT,Data Engineer,US,M
1121,MI,FT,Data Infrastructure Engineer,US,M
234,MI,FT,AI Developer,US,M
2839,MI,FT,Data Operations Engineer,US,M
3525,SE,FT,Data Science Engineer,CA,L
2061,SE,FT,Data Engineer,US,M
285,SE,FT,Data Scientist,US,M
2498,SE,FT,Machine Learning Engineer,US,M
1488,SE,FT,Data Scientist,US,M
1434,SE,FT,Data Scientist,US,M
553,EX,FT,Data Scientist,US,M
3556,SE,FT,Data Scientist,FR,L
304,SE,FT,Data Engineer,US,M
2726,SE,FT,Data Scientist,US,L
781,SE,FT,Analytics Engineer,US,M
660,SE,FT,Applied Machine Learning Scientist,US,L
2137,MI,FT,Data Engineer,US,M
2850,MI,FT,Data Analyst,US,M
1048,MI,FT,Insight Analyst,GB,M
1083,SE,FT,Data Engineer,US,M
2516,SE,FT,Data Engineer,US,M
2121,EN,FT,Data Analytics Engineer,AR,S
3326,SE,FT,Data Scientist,US,M
146,SE,FT,Machine Learning Engineer,US,M
855,SE,FT,Data Analyst,US,M
64,SE,FT,Data Engineer,US,M
3690,SE,FT,Data Engineer,GR,L
3627,EN,FT,Data Scientist,US,M
2054,SE,FT,Machine Learning Engineer,US,M
584,MI,FT,Data Scientist,GB,M
1214,SE,FT,Data Analyst,US,M
3504,MI,FT,Data Engineer,US,L
3020,SE,FT,Data Engineer,US,M
1758,SE,FT,Data Scientist,US,M
425,EN,FT,Data Analyst,US,M
1435,SE,FT,Data Scientist,US,M
3608,MI,FT,Research Scientist,CA,M
2191,SE,FT,Machine Learning Engineer,FR,M
2742,SE,FT,Data Engineer,US,M
2968,EN,FT,Data Scientist,US,L
974,EX,FT,Data Science Manager,RU,L
3569,SE,FT,Data Engineer,US,S
2194,EN,FT,Data Engineer,US,M
588,SE,FT,Data Engineer,US,M
2229,SE,FT,Data Scientist,US,M
311,SE,FT,Data Manager,US,M
1473,SE,FT,Analytics Engineer,US,M
3544,EN,FT,Research Scientist,GB,L
1874,SE,FT,Data Engineer,US,M
225,SE,FT,Data Engineer,US,M
245,SE,FT,Data Science Manager,US,M
2111,SE,FT,Data Engineer,US,M
1341,EN,FT,Data Scientist,IN,L
152,SE,FT,Analytics Engineer,US,M
3693,MI,FT,Research Scientist,FR,S
3003,SE,FT,Data Engineer,US,M
239,SE,FT,Data Scientist,US,M
1557,SE,FT,BI Developer,US,M
1875,SE,FT,Data Engineer,US,M
1699,MI,FT,Machine Learning Engineer,US,M
3009,SE,FT,Data Analyst,US,M
3115,SE,FT,Data Analyst,US,M
71,SE,FT,Data Engineer,US,M
488,SE,FT,Data Scientist,US,M
3672,SE,FT,Machine Learning Infrastructure Engineer,US,M
281,SE,FT,Applied Scientist,US,M
1176,SE,FT,Machine Learning Infrastructure Engineer,FR,M
3229,MI,FT,Machine Learning Scientist,US,L
2971,SE,FT,Data Scientist,US,M
209,SE,FT,Computer Vision Engineer,US,M
3390,SE,FT,Data Engineer,US,M
3239,EX,FT,Data Engineer,US,M
2098,SE,FT,Analytics Engineer,US,M
2259,SE,FT,Data Engineer,US,M
1286,SE,FT,Machine Learning Engineer,US,M
3255,MI,FT,Data Analyst,US,M
360,MI,FT,Big Data Engineer,ES,M
618,SE,FT,Data Engineer,US,M
3695,SE,FT,Data Analytics Manager,US,L
2652,MI,FT,Data Scientist,US,M
744,SE,FT,Data Scientist,US,M
3486,EN,FT,Financial Data Analyst,US,L
2746,SE,FT,ML Engineer,US,L
854,SE,FT,Data Analyst,US,M
862,SE,FT,Data Analyst,US,M
606,MI,FT,Data Analyst,US,M
385,SE,FT,Data Scientist,US,M
1144,SE,FT,Data Engineer,US,M
2159,MI,FT,Data Analyst,US,M
2892,MI,FT,Data Engineer,ES,M
1839,SE,FT,Data Engineer,US,M
3522,MI,FT,Research Scientist,US,M
1448,SE,FT,Data Scientist,US,M
1767,MI,FT,Data Scientist,US,M
2424,SE,FT,Data Analyst,US,M
299,SE,FT,Data Analyst,US,M
2875,SE,FT,Analytics Engineer,US,M
1992,SE,FT,Data Scientist,US,M
563,MI,FT,Data Engineer,US,M
2095,MI,FT,Machine Learning Scientist,US,M
895,SE,FT,Data Analyst,US,M
3188,SE,FT,Data Engineer,US,M
179,SE,FT,Data Engineer,US,M
622,MI,FT,Data Engineer,US,M
2835,SE,FT,Data Engineer,US,M
1956,SE,FT,Data Scientist,US,M
2564,SE,FT,Data Engineer,US,L
401,SE,FT,Analytics Engineer,US,M
2192,SE,FT,Machine Learning Engineer,FR,M
2028,EN,FT,Data Scientist,US,M
3435,MI,FT,Data Analyst,GR,S
393,SE,FT,Data Scientist,ES,M
2870,MI,FT,Data Scientist,NL,L
3609,SE,FT,Machine Learning Scientist,JP,S
2402,SE,FT,Data Analyst,US,M
161,SE,FT,Data Analyst,US,M
1213,SE,FT,Data Analyst,US,M
502,SE,FT,Data Scientist,US,M
2284,SE,FT,Data Scientist,US,M
806,SE,FT,Data Engineer,US,M
2184,MI,FT,Data Analyst,US,M
2521,SE,FT,Data Engineer,US,M
667,SE,FT,Data Scientist,US,M
3364,SE,FT,Data Analyst,US,M
999,SE,FT,Data Analyst,US,M
2551,SE,FT,Data Analyst,US,M
921,SE,FT,Data Scientist,US,M
3286,SE,FT,Data Architect,CA,M
1368,SE,FT,Data Analytics Manager,US,M
1345,SE,FT,Data Scientist,GB,M
3497,EN,FT,Applied Data Scientist,GB,L
1122,MI,FT,Data Infrastructure Engineer,US,M
1749,EN,FT,Research Engineer,US,M
2423,SE,FT,Data Analyst,US,M
2448,SE,FT,Data Analyst,US,M
1963,MI,FT,Analytics Engineer,US,M
2912,EN,FT,Data Analyst,US,L
76,SE,FT,Data Architect,US,M
2131,MI,FT,Data Analyst,US,M
2851,MI,FT,Data Analyst,US,M
3248,SE,FT,Data Engineer,US,M
3570,MI,FT,Research Scientist,CA,L
2936,SE,FT,Data Scientist,US,M
3706,MI,FT,Data Scientist,FR,S
936,EN,FT,Data Analyst,US,M
408,SE,FT,Machine Learning Engineer,US,M
1579,SE,FT,Data Architect,US,M
3151,SE,FT,ML Engineer,US,M
734,SE,FT,Data Analyst,US,M
2108,SE,FT,Data Engineer,US,M
760,SE,FT,Data Operations Engineer,US,M
941,SE,FT,Analytics Engineer,US,M
1883,MI,FT,Data Scientist,US,M
716,SE,FT,Data Scientist,US,M
1115,SE,FT,Data Engineer,US,M
2310,SE,FT,Data Engineer,US,M
2327,SE,FT,Data Engineer,US,M
632,SE,FT,Data Engineer,US,M
1817,MI,FT,Data Scientist,US,M
31,SE,FT,Data Engineer,US,M
3594,SE,FT,Data Engineer,MX,S
1469,MI,FT,Data Analyst,US,M
2830,SE,FT,Analytics Engineer,US,M
3561,EN,FT,Data Science Consultant,DE,S
2640,SE,FT,Data Architect,US,M
1044,SE,FT,Data Analyst,US,M
3455,MI,FT,Product Data Analyst,HN,S
1790,SE,FT,Research Scientist,US,M
2693,SE,FT,Machine Learning Engineer,US,M
1951,MI,FT,Data Analyst,US,M
1238,SE,FT,Data Analyst,US,M
1996,EN,FT,Data Engineer,US,M
2579,MI,FT,Data Engineer,AU,L
1173,MI,FT,Data Engineer,US,M
1171,SE,FT,Data Engineer,US,M
1491,SE,FT,Data Analyst,US,M
531,SE,FT,Data Engineer,US,M
2144,SE,FT,Data Scientist,US,M
1553,SE,FT,Data Scientist,LV,M
2345,SE,FT,Data Scientist,US,M
3666,MI,FT,Big Data Engineer,IN,L
2454,SE,FT,Data Scientist,US,M
3584,SE,FT,Cloud Data Engineer,US,S
328,SE,FT,Data Architect,US,M
1272,SE,FT,Machine Learning Engineer,US,M
1391,MI,FT,Data Analyst,US,M
519,SE,FT,Data Scientist,US,M
2779,MI,FT,Data Engineer,GB,M
3422,MI,FT,Business Data Analyst,IN,M
268,SE,FT,Analytics Engineer,US,M
476,SE,FT,Data Engineer,US,M
525,SE,FT,Research Scientist,US,M
1021,MI,FT,Data Engineer,US,M
3061,MI,FT,Data Scientist,ID,L
676,SE,FT,Data Architect,GB,M
2231,SE,FT,Data Scientist,US,M
2567,MI,FT,Data Scientist,BR,M
1103,SE,FT,Data Manager,US,M
973,SE,FT,Head of Data,PT,L
1678,SE,FT,Data Scientist,US,M
1281,EN,FT,Data Analyst,US,M
2591,SE,FT,Data Scientist,US,M
2637,MI,FT,ML Engineer,US,L
776,MI,FT,Data Science Lead,US,M
115,SE,FT,Data Scientist,US,M
3123,SE,FT,Business Data Analyst,US,L
1398,SE,FT,Applied Scientist,US,M
1545,SE,FT,Computer Vision Engineer,US,S
989,MI,FT,Machine Learning Engineer,US,M
418,SE,FT,Data Scientist,US,M
2222,SE,FT,Data Engineer,US,M
334,EN,FT,Data Scientist,US,M
2538,SE,FT,Data Analyst,ES,M
2139,SE,FT,Data Scientist,ES,M
1614,SE,FT,Data Scientist,US,M
600,SE,FT,Data Engineer,US,M
906,SE,FT,Data Manager,US,M
2732,SE,FT,Machine Learning Engineer,US,M
2813,SE,FT,Analytics Engineer,US,M
3664,MI,FT,Data Engineer,US,L
2115,MI,FT,Data Science Consultant,GB,M
449,MI,FT,Data Analyst,US,M
607,SE,FT,Data Scientist,US,M
2550,SE,FT,Data Engineer,US,M
2221,MI,FT,Data Analytics Manager,US,M
1224,EN,FT,Data Analyst,US,L
1247,SE,FT,Research Scientist,ES,M
2279,EX,FT,Data Engineer,US,M
2004,SE,FT,Data Engineer,US,M
3673,MI,FT,Data Scientist,ES,L
3171,SE,FT,Data Analyst,US,M
1860,SE,FT,Data Scientist,US,M
1927,MI,FT,Data Engineer,GB,M
1230,EN,FT,Data Scientist,IN,L
931,SE,FT,Data Scientist,US,M
3027,SE,FT,Data Scientist,US,M
3549,EN,FT,Machine Learning Engineer,US,S
3488,EN,FT,Data Scientist,FR,M
1803,SE,FT,Data Engineer,US,M
362,SE,FT,Data Engineer,US,M
2756,SE,FT,Data Scientist,US,M
204,EX,FT,Data Engineer,US,M
1382,SE,FT,Data Engineer,US,M
2517,SE,FT,Data Engineer,US,M
2365,SE,FT,Data Analyst,US,M
1551,SE,FT,Data Scientist,US,M
2994,SE,FT,Machine Learning Engineer,US,M
1069,EN,FT,Data Scientist,US,M
580,MI,FT,Data Scientist,GB,M
1258,SE,FT,Machine Learning Software Engineer,US,M
3161,SE,FT,Data Analytics Manager,US,M
2882,SE,FT,Data Scientist,US,M
3723,SE,FT,Computer Vision Engineer,BR,M
2001,SE,FT,Data Analyst,US,M
318,SE,FT,Data Scientist,US,M
2478,SE,FT,Data Engineer,US,M
1462,MI,FT,Head of Data Science,IN,L
1141,SE,FT,Data Scientist,US,M
1917,EN,FT,Machine Learning Software Engineer,MA,S
105,SE,FT,Data Engineer,US,M
3127,EN,FT,Machine Learning Developer,US,L
2285,SE,FT,Data Scientist,US,M
1831,SE,FT,Data Engineer,US,M
3477,EN,FT,Computer Vision Software Engineer,AU,S
3428,MI,FT,Applied Data Scientist,US,L
3623,SE,FT,Machine Learning Engineer,US,L
2320,SE,FT,Analytics Engineer,US,M
3275,EX,FT,Data Analyst,US,M
638,SE,FT,Data Engineer,US,M
1841,MI,FT,Data Analyst,US,M
1575,SE,FT,Data Scientist,US,M
3530,MI,FT,Data Science Consultant,US,L
2076,SE,FT,Data Engineer,US,M
2291,SE,FT,Data Scientist,US,M
625,SE,FT,Data Scientist,CA,M
1192,MI,FT,Data Science Lead,GB,M
636,SE,FT,Data Scientist,US,M
1612,SE,FT,Data Scientist,US,M
3585,MI,FT,Data Scientist,US,L
2670,SE,FT,Data Engineer,US,M
1734,SE,FT,Data Analyst,US,M
1263,EX,FT,Data Engineer,US,M
3704,SE,FT,Data Engineer,US,M
2248,SE,FT,Data Engineer,US,M
435,SE,FT,Data Scientist,US,M
3738,MI,FT,Data Scientist,US,L
3356,SE,FT,Data Analyst,US,M
3734,MI,FT,Lead Data Analyst,IN,L
3559,EX,FT,Data Engineer,ES,L
3417,SE,FT,Data Engineer,US,M
536,SE,FT,Data Engineer,US,M
2360,SE,FT,Data Engineer,US,M
2974,SE,FT,Machine Learning Engineer,US,M
2625,SE,FT,Data Analyst,US,M
2861,SE,FT,Data Engineer,US,M
3001,SE,FT,Machine Learning Engineer,US,L
2744,SE,FT,Data Scientist,US,M
2858,SE,FT,Data Engineer,US,M
1025,SE,FT,Machine Learning Engineer,DE,M
246,SE,FT,Data Science Manager,US,M
3038,SE,FT,Data Science Manager,US,L
1894,MI,FT,Data Engineer,US,M
2787,SE,FT,Data Analyst,US,M
569,SE,FT,Data Analyst,US,M
1366,SE,FT,Data Engineer,US,M
2705,SE,FT,Machine Learning Engineer,CA,M
3574,MI,FT,BI Data Analyst,US,L
1107,MI,FT,Data Engineer,GB,L
2462,SE,FT,Data Engineer,US,M
590,EX,FT,Data Engineer,US,M
3238,EX,FT,Data Engineer,US,M
3702,MI,FT,Data Science Engineer,GR,M
2398,SE,FT,Data Scientist,US,M
2934,MI,FT,Data Analyst,US,L
12,SE,FT,Data Analyst,US,M
370,SE,FT,Data Engineer,US,M
474,SE,FT,Data Analyst,US,M
1556,SE,FT,BI Developer,US,M
1177,SE,FT,Data Scientist,US,M
3024,SE,FT,Data Scientist,US,M
879,SE,FT,Data Engineer,US,M
2525,EN,FT,Data Scientist,US,M
1406,MI,FT,Data Analyst,US,M
413,SE,FT,Data Scientist,US,M
2089,SE,FT,Data Analyst,US,M
2130,SE,FT,Data Scientist,US,M
223,SE,FT,Data Engineer,US,M
1118,MI,FT,AI Scientist,GH,S
228,EX,FT,Head of Data,US,M
1872,EN,FT,Data Engineer,US,M
1938,SE,FT,Data Engineer,US,M
3663,MI,FT,Lead Data Analyst,US,L
2126,SE,FT,Data Specialist,US,M
506,SE,FT,Machine Learning Engineer,US,M
1164,MI,FT,Data Analyst,HR,M
1510,SE,FT,Data Engineer,US,M
3252,SE,FT,Data Scientist,US,L
2280,EX,FT,Data Engineer,US,M
2129,SE,FT,Data Scientist,US,M
2100,SE,FT,Data Engineer,US,M
1590,SE,FT,Data Science Consultant,US,M
3731,MI,FT,Data Scientist,LU,S
2655,SE,FT,Principal Data Architect,IN,L
2107,MI,FT,Data Scientist,US,M
944,SE,FT,Data Analyst,US,M
1525,SE,FT,ML Engineer,US,M
2754,SE,FT,Data Analyst,US,M
1826,SE,FT,Data Scientist,US,M
238,EX,FT,Data Engineer,US,M
1038,SE,FT,Data Engineer,US,M
2829,MI,FT,Data Engineer,US,M
508,SE,FT,Data Analyst,US,M
1529,SE,FT,Data Engineer,US,M
2594,SE,FT,Data Scientist,US,M
2644,SE,FT,Data Scientist,ES,M
2210,SE,FT,Data Engineer,US,M
1149,SE,FT,Data Engineer,US,M
1042,SE,FT,Data Engineer,US,M
709,MI,FT,Data Engineer,US,M
1800,MI,FT,Machine Learning Engineer,GB,M
1327,MI,FT,Data Analyst,GB,M
778,SE,FT,Data Engineer,US,M
2775,SE,FT,ML Engineer,US,M
558,SE,FT,Data Analyst,US,M
2626,SE,FT,Data Engineer,US,M
2466,MI,FT,Data Analyst,US,M
165,SE,FT,Machine Learning Engineer,US,M
1781,SE,FT,Applied Scientist,US,M
2665,EX,FT,Data Manager,CA,L
3408,SE,FT,Machine Learning Engineer,AE,S
3187,SE,FT,Data Architect,US,M
220,SE,FT,Data Analyst,US,M
2177,SE,FT,Data Analyst,US,M
279,SE,FT,Research Scientist,US,M
3754,SE,FT,Data Science Manager,IN,L
1172,SE,FT,Data Engineer,US,M
2416,MI,FT,Data Scientist Lead,AT,L
155,MI,FT,Business Data Analyst,US,L
1145,SE,FT,Machine Learning Software Engineer,US,M
1226,SE,FT,Data Engineer,US,M
1300,SE,FT,Data Scientist,US,M
1550,SE,FT,Data Scientist,US,M
1706,SE,FT,Research Scientist,US,M
3493,EN,FT,Computer Vision Engineer,US,M
691,SE,FT,Data Engineer,US,M
2667,SE,FT,Data Engineer,US,M
841,MI,FT,Data Engineer,US,M
1994,SE,FT,Data Analyst,US,M
1451,SE,FT,Data Architect,US,M
2745,SE,FT,ML Engineer,US,L
3650,SE,FT,Machine Learning Engineer,IN,L
3329,SE,FT,Analytics Engineer,US,M
2918,SE,FT,Data Scientist,US,M
2138,MI,FT,Data Engineer,US,M
2348,EN,FT,Data Engineer,US,M
1243,SE,FT,Data Engineer,US,M
2376,SE,FT,Data Analyst,US,M
1101,SE,FT,Analytics Engineer,US,M
134,SE,FT,Machine Learning Engineer,US,L
3649,SE,FT,Data Science Manager,US,L
2671,SE,FT,Data Engineer,US,M
963,SE,FT,Research Scientist,US,M
1299,SE,FT,Data Engineer,US,M
2452,SE,FT,Data Engineer,US,M
1658,SE,FT,Analytics Engineer,US,M
3430,EN,FT,Data Engineer,US,S
2708,SE,FT,ETL Developer,US,M
1033,SE,FT,Data Manager,GB,M
3618,EN,FT,Data Engineer,US,L
2397,SE,FT,Data Scientist,US,M
3600,EN,FT,Data Analyst,US,L
3426,EN,FT,Data Scientist,IN,M
2449,SE,FT,Data Analyst,US,M
2133,SE,FT,Data Engineer,US,M
3226,MI,FT,Data Engineer,US,M
3250,SE,FT,Data Engineer,US,M
748,EN,FT,Research Scientist,US,M
1106,SE,FT,Data Scientist,US,M
3496,EN,PT,Data Analyst,ES,M
1903,SE,FT,Data Engineer,US,M
3254,MI,FT,Data Analyst,US,M
3070,SE,FT,Data Engineer,US,M
2443,SE,FT,Data Scientist,US,M
2541,SE,FT,Data Engineer,US,M
2687,MI,FT,Research Scientist,DE,S
371,MI,FT,Data Specialist,US,M
1987,SE,FT,Data Engineer,US,M
2382,SE,FT,Machine Learning Engineer,US,M
2842,SE,FT,Data Scientist,US,M
2128,EN,FL,Data Analytics Consultant,US,S
1348,MI,FT,Research Scientist,US,M
2445,SE,FT,Data Scientist,ES,M
1852,SE,FT,Data Engineer,US,M
2223,SE,FT,Data Engineer,US,M
3616,MI,FT,Data Engineer,US,L
1812,MI,FT,Data Analyst,US,M
292,SE,FT,Data Scientist,US,M
2030,MI,FT,Data Analyst,US,M
261,SE,FT,Data Scientist,US,M
3667,MI,FT,Data Scientist,US,S
2188,MI,FT,Data Analyst,US,M
489,SE,FT,Data Scientist,US,M
2080,SE,FT,Data Engineer,US,M
3535,MI,FT,Data Scientist,NG,L
1267,SE,FT,Data Architect,US,M
2860,SE,FT,Data Engineer,US,M
529,SE,FT,Machine Learning Engineer,US,M
1701,SE,FT,Data Analyst,US,M
1552,SE,FT,Data Scientist,LV,M
2457,SE,FT,Data Engineer,US,M
2654,MI,FT,Data Scientist,AU,L
324,SE,FL,Machine Learning Researcher,UA,S
1517,MI,FT,Data Analyst,US,M
3051,MI,FT,Machine Learning Engineer,US,M
2545,SE,FT,Data Scientist,US,M
831,SE,FT,Data Scientist,US,M
627,MI,FT,Data Engineer,US,M
2045,MI,FT,Data Analyst,US,M
1268,SE,FT,Data Architect,US,M
1150,SE,FT,Data Engineer,US,M
216,SE,FT,Data Analyst,US,M
2507,SE,FT,Data Engineer,US,M
1732,SE,FT,Data Analyst,US,M
2494,SE,FT,Data Scientist,US,M
1378,SE,FT,Data Engineer,US,M
3157,MI,FT,Machine Learning Engineer,GB,M
3630,EN,FT,Data Science Consultant,DE,L
129,MI,FT,Data Analytics Manager,US,M
2418,SE,FT,Data Engineer,US,M
2407,SE,FT,Data Engineer,US,M
1616,MI,FT,Data Analyst,GB,M
302,SE,FT,Data Scientist,US,M
1041,SE,FT,Data Quality Analyst,US,M
3645,SE,FT,Data Analyst,CA,M
3120,EN,FT,Data Engineer,IN,L
1675,SE,FT,Data Science Manager,US,M
2818,SE,FT,Applied Machine Learning Scientist,US,L
3245,SE,FT,Data Scientist,US,M
114,EN,FT,Machine Learning Engineer,CH,S
986,SE,FT,Machine Learning Engineer,US,M
766,MI,FT,Data Scientist,ES,M
617,SE,FT,Data Engineer,US,M
2607,SE,FT,Data Scientist,US,M
3424,MI,FT,Machine Learning Infrastructure Engineer,PT,L
2915,EX,FT,Machine Learning Scientist,US,S
722,SE,FT,Data Analyst,US,M
2328,SE,FT,Data Engineer,US,M
3489,SE,FT,Lead Data Scientist,IN,L
2921,MI,FT,Data Scientist,GB,M
46,SE,FT,Data Scientist,US,M
68,SE,FT,Applied Scientist,US,L
2526,MI,FT,Data Analyst,US,M
2446,EX,FT,Head of Data,US,M
556,SE,FT,Data Analyst,US,M
429,SE,FT,Data Analyst,US,M
2155,SE,FT,Data Engineer,US,M
3677,MI,FT,Data Scientist,GB,L
2677,SE,FT,Data Analyst,ES,M
2085,SE,FT,Data Analyst,US,M
532,SE,FT,Data Engineer,US,M
3142,SE,FT,Data Science Manager,AU,L
3163,EN,FT,Data Scientist,DE,S
3463,SE,FT,Data Analytics Lead,US,L
3641,SE,FT,Data Analyst,DE,L
3415,SE,FT,Data Scientist,US,M
510,SE,FT,Data Analyst,US,M
1270,SE,FT,Data Science Manager,US,M
368,MI,FT,Research Scientist,GB,M
391,MI,FT,Lead Data Analyst,US,L
3110,SE,FT,Data Scientist,US,L
3309,SE,FT,Data Engineer,US,M
208,SE,FT,Data Engineer,US,M
2081,MI,FT,Data Scientist,US,M
2780,SE,FT,Data Engineer,US,M
844,SE,FT,Data Scientist,US,M
92,SE,FT,Data Scientist,ES,M
426,EN,FT,Data Analyst,US,M
3670,EN,FT,Data Science Consultant,US,S
2906,SE,FT,Data Scientist,US,M
819,MI,FT,Research Scientist,US,M
2895,SE,FT,Data Scientist,US,M
1855,SE,FT,Data Scientist,US,M
2051,SE,FT,Data Scientist,US,M
3209,MI,FT,Data Analyst,GR,M
604,MI,FT,Data Scientist,DE,M
3337,SE,FT,Data Analyst,US,M
291,SE,FT,Data Scientist,US,M
804,MI,FT,Data Analyst,CA,M
205,MI,FT,Data Engineer,US,M
2366,SE,FT,Machine Learning Engineer,US,M
866,SE,FT,Data Scientist,US,M
1354,SE,FT,Machine Learning Engineer,US,M
2055,SE,FT,Machine Learning Engineer,US,M
1253,SE,FT,Data Engineer,US,M
3278,SE,FT,Data Science Manager,US,M
840,SE,FT,Machine Learning Engineer,US,M
1561,SE,FT,Research Scientist,US,M
2149,EN,FT,3D Computer Vision Researcher,AS,M
